STATION_NAME,STATION_DESCRIPTIVE_NAME,latitude,longitude
Kedzie,Kedzie (Orange Line),41.804236,-87.704406
Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",41.879507,-87.626037
35th/Archer,35th/Archer (Orange Line),41.829353,-87.680622
Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41.88322,-87.626189
Halsted,Halsted (Orange Line),41.84678,-87.648088
Roosevelt,"Roosevelt (Red, Orange & Green lines)",41.867405,-87.62659
Western,Western (Orange Line),41.804546,-87.684019
Midway,Midway (Orange Line),41.78661,-87.737875
Pulaski,Pulaski (Orange Line),41.799756,-87.724493
Ashland,Ashland (Orange Line),41.839234,-87.665317
