STATION_NAME,STATION_DESCRIPTIVE_NAME,latitude,longitude
Kedzie-Homan,Kedzie-Homan (Blue Line),41.874341,-87.70604
Illinois Medical District,Illinois Medical District (Blue Line),41.875706,-87.673932
California,California  (Blue Line),41.921939,-87.69689
Western (O'Hare Branch),Western (Blue Line - O'Hare Branch),41.916157,-87.687364
Cicero,Cicero (Blue Line),41.871574,-87.745154
Harlem,Harlem (Blue Line - O'Hare Branch),41.98227,-87.8089
Clinton,Clinton (Blue Line),41.875539,-87.640984
Rosemont,Rosemont (Blue Line),41.983507,-87.859388
UIC-Halsted,UIC-Halsted (Blue Line),41.875474,-87.649707
Logan Square,Logan Square (Blue Line),41.929728,-87.708541
Irving Park,Irving Park (Blue Line),41.952925,-87.729229
Grand,Grand (Blue Line),41.891189,-87.647578
Oak Park,Oak Park (Blue Line),41.872108,-87.791602
Belmont,Belmont (Blue Line),41.938132,-87.712359
Forest Park,Forest Park (Blue Line),41.874257,-87.817318
Pulaski,Pulaski (Blue Line),41.873797,-87.725663
Washington,Washington (Blue Line),41.883164,-87.62944
Western (Forest Park Branch),Western (Blue Line - Forest Park Branch),41.875478,-87.688436
Austin,Austin (Blue Line),41.870851,-87.776812
Racine,Racine (Blue Line),41.87592,-87.659458
O'Hare,O'Hare (Blue Line),41.97766526,-87.90422307
California,California (Blue Line),41.921939,-87.69689
Division,Division (Blue Line),41.903355,-87.666496
Montrose,Montrose (Blue Line),41.961539,-87.743574
Jackson,Jackson (Blue Line),41.878183,-87.629296
Cumberland,Cumberland (Blue Line),41.984246,-87.838028
Harlem,Harlem (Blue Line - Forest Park Branch),41.87349,-87.806961
Damen,Damen (Blue Line),41.909744,-87.677437
LaSalle,LaSalle (Blue Line),41.875568,-87.631722
Jefferson Park,Jefferson Park (Blue Line),41.970634,-87.760892
Chicago,Chicago (Blue Line),41.896075,-87.655214
Addison,Addison (Blue Line),41.94738,-87.71906
Monroe,Monroe (Blue Line),41.880703,-87.629378
