STATION_NAME,STATION_DESCRIPTIVE_NAME,latitude,longitude
Merchandise Mart,Merchandise Mart (Brown & Purple lines),41.888969,-87.633924
Damen,Damen (Brown Line),41.966286,-87.678639
Chicago,Chicago (Brown & Purple lines),41.89681,-87.635924
Kedzie,Kedzie (Brown Line),41.965996,-87.708821
Southport,Southport (Brown Line),41.943744,-87.663619
Paulina,Paulina (Brown Line),41.943623,-87.670907
Western,Western (Brown Line),41.966163,-87.688502
Montrose,Montrose (Brown Line),41.961756,-87.675047
Rockwell,Rockwell (Brown Line),41.966115,-87.6941
Quincy/Wells,"Quincy/Wells (Brown, Orange, Purple & Pink lines)",41.878723,-87.63374
Sedgwick,Sedgwick (Brown & Purple lines),41.910409,-87.639302
Irving Park,Irving Park (Brown Line),41.954521,-87.674868
State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",41.88574,-87.627835
Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink lines)",41.882695,-87.63378
Addison,Addison (Brown Line),41.947028,-87.674642
Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink lines)",41.876862,-87.628196
Kimball,Kimball (Brown Line),41.967901,-87.713065
Diversey,Diversey (Brown & Purple lines),41.932732,-87.653131
Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",41.885737,-87.630886
LaSalle/Van Buren,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",41.8768,-87.631739
Wellington,Wellington (Brown & Purple lines),41.936033,-87.653266
Francisco,Francisco (Brown Line),41.966046,-87.701644
Armitage,Armitage (Brown & Purple lines),41.918217,-87.652644
