name,latitude,longitude,date_of_occurrence
BATTERY,41.84445928,-87.70921937,2024-07-07T05:02:00.000
CRIMINAL DAMAGE,41.908430535,-87.638509526,2024-07-07T05:10:00.000
ROBBERY,41.896583086,-87.635244081,2024-07-07T05:10:00.000
WEAPONS VIOLATION,41.888659061,-87.749015157,2024-07-07T05:10:00.000
BATTERY,41.790778727,-87.606144315,2024-07-07T05:19:00.000
BATTERY,41.76486244,-87.667852637,2024-07-07T05:24:00.000
OTHER OFFENSE,41.80026002,-87.600499169,2024-07-07T05:28:00.000
DECEPTIVE PRACTICE,41.919764211,-87.716848971,2024-07-07T05:28:00.000
BATTERY,41.718038168,-87.570981184,2024-07-07T05:30:00.000
ROBBERY,41.872362106,-87.643823977,2024-07-07T05:30:00.000
THEFT,41.942486166,-87.665299405,2024-07-07T05:30:00.000
WEAPONS VIOLATION,41.882923973,-87.764949934,2024-07-07T05:34:00.000
BATTERY,42.013149145,-87.778621319,2024-07-07T05:38:00.000
ROBBERY,41.658635903,-87.617297524,2024-07-07T05:40:00.000
ASSAULT,41.945863902,-87.767912706,2024-07-07T05:40:00.000
THEFT,41.963457427,-87.665771631,2024-07-07T05:45:00.000
THEFT,41.93409695,-87.679095405,2024-07-07T05:45:00.000
BATTERY,41.854338326,-87.653106042,2024-07-07T05:50:00.000
MOTOR VEHICLE THEFT,41.973095202,-87.697705083,2024-07-07T05:52:00.000
DECEPTIVE PRACTICE,41.994456141,-87.668651894,2024-07-07T06:00:00.000
DECEPTIVE PRACTICE,41.918616969,-87.765787043,2024-07-07T06:00:00.000
BATTERY,41.930478066,-87.757626343,2024-07-07T06:00:00.000
BATTERY,41.89678606,-87.75143141,2024-07-07T06:00:00.000
BURGLARY,41.911401334,-87.650200666,2024-07-07T06:05:00.000
CRIMINAL DAMAGE,41.78130008,-87.602702305,2024-07-07T06:10:00.000
CRIMINAL DAMAGE,41.701274429,-87.617260457,2024-07-07T06:15:00.000
CRIMINAL DAMAGE,41.673322329,-87.658818386,2024-07-07T06:15:00.000
BATTERY,41.965455019,-87.653116647,2024-07-07T06:15:00.000
CRIMINAL TRESPASS,41.712522821,-87.568200575,2024-07-07T06:24:00.000
DECEPTIVE PRACTICE,41.928107015,-87.748927245,2024-07-07T06:26:00.000
BATTERY,41.796557024,-87.69754185,2024-07-07T06:30:00.000
THEFT,41.793604642,-87.632974207,2024-07-07T06:30:00.000
BATTERY,41.899048297,-87.723072278,2024-07-07T06:39:00.000
MOTOR VEHICLE THEFT,41.893153216,-87.636669763,2024-07-07T06:40:00.000
DECEPTIVE PRACTICE,41.922966363,-87.758572094,2024-07-07T06:40:00.000
ASSAULT,41.993226786,-87.658313143,2024-07-07T06:45:00.000
CRIMINAL DAMAGE,41.782601671,-87.665505994,2024-07-07T06:52:00.000
THEFT,41.925684675,-87.68614125,2024-07-07T07:00:00.000
BATTERY,41.783522021,-87.593125671,2024-07-07T07:00:00.000
MOTOR VEHICLE THEFT,41.820489899,-87.606402579,2024-07-07T07:00:00.000
MOTOR VEHICLE THEFT,41.877851597,-87.736092822,2024-07-07T07:00:00.000
OTHER OFFENSE,41.939300539,-87.711794487,2024-07-07T07:00:00.000
THEFT,41.831857932,-87.64491566,2024-07-07T07:00:00.000
THEFT,41.880362084,-87.755847438,2024-07-07T07:00:00.000
NARCOTICS,41.895808087,-87.711445042,2024-07-07T07:16:00.000
NARCOTICS,41.895445293,-87.717964416,2024-07-07T07:18:00.000
THEFT,41.651865605,-87.610284846,2024-07-07T07:19:00.000
THEFT,41.968234567,-87.728571616,2024-07-07T07:25:00.000
CRIMINAL DAMAGE,41.792662013,-87.699868612,2024-07-07T07:30:00.000
BATTERY,41.775014224,-87.687192647,2024-07-07T07:30:00.000
BATTERY,41.850716034,-87.71375024,2024-07-07T07:30:00.000
CRIMINAL DAMAGE,41.954054454,-87.73681569,2024-07-07T07:45:00.000
BATTERY,41.909315883,-87.68965342,2024-07-07T07:45:00.000
CRIMINAL DAMAGE,41.768057072,-87.568688399,2024-07-07T07:45:00.000
CRIMINAL DAMAGE,42.012915394,-87.674685821,2024-07-07T07:50:00.000
BATTERY,41.907654782,-87.734646884,2024-07-07T08:00:00.000
BATTERY,41.79194408,-87.632929944,2024-07-07T08:00:00.000
BATTERY,41.850832819,-87.718630771,2024-07-07T08:00:00.000
CRIMINAL DAMAGE,41.656830531,-87.605131809,2024-07-07T08:00:00.000
OTHER OFFENSE,41.776018543,-87.615520426,2024-07-07T08:00:00.000
DECEPTIVE PRACTICE,41.743068986,-87.601362384,2024-07-07T08:00:00.000
DECEPTIVE PRACTICE,41.924540386,-87.761086122,2024-07-07T08:00:00.000
CRIMINAL DAMAGE,41.781047752,-87.76428493,2024-07-07T08:00:00.000
DECEPTIVE PRACTICE,41.972849449,-87.780659072,2024-07-07T08:00:00.000
OTHER OFFENSE,41.876105555,-87.731229167,2024-07-07T08:02:00.000
BATTERY,41.804296922,-87.646245084,2024-07-07T08:02:00.000
OTHER OFFENSE,41.848320196,-87.69124888,2024-07-07T08:03:00.000
OTHER OFFENSE,41.885182294,-87.642757034,2024-07-07T08:08:00.000
NARCOTICS,41.898067287,-87.721278114,2024-07-07T08:08:00.000
DECEPTIVE PRACTICE,41.919764211,-87.716848971,2024-07-07T08:11:00.000
DECEPTIVE PRACTICE,41.919764211,-87.716848971,2024-07-07T08:14:00.000
MOTOR VEHICLE THEFT,41.779629173,-87.64086596,2024-07-07T08:15:00.000
BATTERY,41.864120184,-87.704376814,2024-07-07T08:16:00.000
CRIMINAL DAMAGE,41.6549986,-87.602309192,2024-07-07T08:20:00.000
OTHER OFFENSE,41.746964491,-87.60632749,2024-07-07T08:24:00.000
THEFT,41.780605297,-87.785037091,2024-07-07T08:30:00.000
MOTOR VEHICLE THEFT,41.912639569,-87.749277778,2024-07-07T08:31:00.000
MOTOR VEHICLE THEFT,41.749825471,-87.633065488,2024-07-07T08:40:00.000
BATTERY,41.960950371,-87.779482405,2024-07-07T08:40:00.000
BATTERY,41.893387979,-87.77224329,2024-07-07T08:45:00.000
MOTOR VEHICLE THEFT,41.774146678,-87.615478975,2024-07-07T08:45:00.000
BATTERY,41.814844458,-87.615490575,2024-07-07T08:55:00.000
CRIMINAL DAMAGE,41.942857056,-87.717909382,2024-07-07T09:00:00.000
THEFT,41.925843451,-87.702341464,2024-07-07T09:00:00.000
THEFT,41.869776117,-87.68367652,2024-07-07T09:00:00.000
BATTERY,41.922486131,-87.707147749,2024-07-07T09:00:00.000
ASSAULT,41.784648619,-87.689490239,2024-07-07T09:00:00.000
OTHER OFFENSE,42.00711743,-87.670006581,2024-07-07T09:00:00.000
BATTERY,41.779180217,-87.689174642,2024-07-07T09:00:00.000
OTHER OFFENSE,41.871001311,-87.701610756,2024-07-07T09:00:00.000
BATTERY,41.938221879,-87.717362208,2024-07-07T09:00:00.000
CRIMINAL DAMAGE,41.855524939,-87.6978538,2024-07-07T09:00:00.000
NARCOTICS,41.888654974,-87.749290638,2024-07-07T09:05:00.000
BATTERY,41.990039704,-87.659064106,2024-07-07T09:06:00.000
THEFT,41.874884255,-87.706588192,2024-07-07T09:12:00.000
THEFT,41.975370278,-87.744023432,2024-07-07T09:15:00.000
DECEPTIVE PRACTICE,41.7661636,-87.584113638,2024-07-07T09:19:00.000
THEFT,41.961253689,-87.697657333,2024-07-07T09:20:00.000
CRIMINAL DAMAGE,41.871729915,-87.718551756,2024-07-07T09:20:00.000
CRIMINAL TRESPASS,41.767740703,-87.691888057,2024-07-07T09:25:00.000
