line,stop
Red,Howard
Red,Jarvis
Red,Morse
Red,Loyola
Red,Granville
Red,Thorndale
Red,Bryn Mawr
Red,Berwyn
Red,Argyle
Red,Lawrence
Red,Wilson
Red,Sheridan
Red,Addison
Red,Belmont
Red,Fullerton
Red,North/Clybourn
Red,Clark/Division
Red,Chicago
Red,Grand
Red,Lake
Red,Monroe
Red,Jackson
Red,Harrison
Red,Roosevelt
Red,Cermak–Chinatown
Red,Sox–35th
Red,47th
Red,Garfield
Red,63rd
Red,69th
Red,79th
Red,87th
Red,95th/Dan Ryan
Blue,O'Hare
Blue,Rosemont
Blue,Cumberland
Blue,Harlem (O'Hare Branch)
Blue,Jefferson Park
Blue,Montrose
Blue,Irving Park
Blue,Addison
Blue,Belmont
Blue,Logan Square
Blue,California
Blue,Western (O'Hare Branch)
Blue,Damen
Blue,Division
Blue,Chicago
Blue,Grand
Blue,Clinton
Blue,UIC–Halsted
Blue,Illinois Medical District
Blue, Western (Forest Park Branch)
Blue,Kedzie-Homan
Blue,Pulaski
Blue,Cicero
Blue,Austin
Blue,Oak Park
Blue,Harlem (Forest Park Branch)
Blue,Forest Park
Brown,Kimball
Brown,Kedzie
Brown,Francisco
Brown,Rockwell
Brown,Western
Brown,Damen
Brown,Montrose
Brown,Irving Park
Brown,Addison
Brown,Paulina
Brown,Southport
Brown,Belmont
Brown,Wellington
Brown,Diversey
Brown,Fullerton
Brown,Armitage
Brown,Sedgwick
Brown,Chicago
Brown,Merchandise Mart
Brown,Washington/Wells
Brown,Quincy
Brown,Harold Washington Library-State/Van Buren
Brown,Washington/Wabash
Brown,Clark/Lake
Green,Harlem/Lake
Green,Oak Park
Green,Ridgeland
Green,Austin
Green,Central
Green,Laramie
Green,Cicero
Green,Pulaski
Green,Conservatory-Central Park Drive
Green,Kedzie
Green,California
Green,Damen
Green,Ashland
Green,Morgan
Green,Clinton
Green,Clark/Lake
Green,State/Lake
Green,Washington/Wabash
Green,Adams/Wabash
Green,Roosevelt
Green,Cermak–McCormick Place
Green,35th-Bronzeville-IIT
Green,Indiana
Green,43rd
Green,47th
Green,51st
Green,Garfield
Green,King Drive
Green,Cottage Grove
Green,Ashland/63rd
Green,Halsted
Green,Ashland/63rd
Orange,Midway
Orange,Pulaski
Orange,Kedzie
Orange,Western
Orange,35th/Archer
Orange,Ashland
Orange,Halsted
Orange,Roosevelt
Orange,Harold Washington Library-State/Van Buren
Orange,LaSalle/Van Buren
Orange,Quincy/Wells
Orange,Washington/Wells
Orange,Clark/Lake
Orange,Washington/Wabash
Pink,54th/Cermak
Pink,Cicero
Pink,Kostner
Pink,Pulaski
Pink,Central Park
Pink,Kedzie
Pink,California
Pink,Western
Pink,Damen
Pink,18th
Pink,Polk
Pink,Ashland
Pink,Morgan
Pink,Clinton
Pink,Clark/Lake
Pink,State/Lake
Pink,Washington/Wabash
Pink,Adams/Wabash
Pink,Harold Washington Library-State/Van Buren
Pink,LaSalle/Van Buren
Pink,Quincy
Pink,Washington/Wells
Purple,Howard
Purple,Wilson
Purple,Belmont
Purple,Wellington
Purple,Diversey
Purple,Fullerton
Purple,Armitage
Purple,Sedgwick
Purple,Chicago
Purple,Merchandise Mart
Purple,Washington/Wells
Purple,LaSalle/Van Buren
Purple,Quincy
Purple,Washington/Wabash
Purple,Adams/Wabash
Purple,Harold Washington Library-State/Van Buren
Purple,State/Lake
Purple,Clark/Lake
