STATION_NAME,STATION_DESCRIPTIVE_NAME,latitude,longitude
Cermak-McCormick Place,Cermak-McCormick Place (Green Line),41.853115,-87.626402
Harlem/Lake,Harlem/Lake (Green Line),41.886848,-87.803176
Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",41.879507,-87.626037
Cottage Grove,Cottage Grove (Green Line),41.780309,-87.605857
Oak Park,Oak Park (Green Line),41.886988,-87.793783
Damen,Damen (Green Line),41.88497405,-87.67689149
Ridgeland,Ridgeland (Green Line),41.887159,-87.783661
Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41.88322,-87.626189
State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple lines)",41.88574,-87.627835
Indiana,Indiana (Green Line),41.821732,-87.621371
Garfield,Garfield (Green Line),41.795172,-87.618327
51st,51st (Green Line),41.80209,-87.618487
Halsted,Halsted (Green Line),41.778943,-87.644244
California,California (Green Line),41.88422,-87.696234
Roosevelt,"Roosevelt (Red, Orange & Green lines)",41.867405,-87.62659
Morgan,Morgan (Green & Pink lines),41.885586,-87.652193
47th,47th (Green Line),41.809209,-87.618826
Austin,Austin (Green Line),41.887293,-87.774135
Kedzie,Kedzie (Green Line),41.884321,-87.706155
Central,Central (Green Line),41.887389,-87.76565
Clinton,Clinton (Green & Pink lines),41.885678,-87.641782
Ashland,Ashland (Green & Pink lines),41.885269,-87.666969
Laramie,Laramie (Green Line),41.887163,-87.754986
Clark/Lake,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",41.885737,-87.630886
King Drive,King Drive (Green Line),41.78013,-87.615546
35th-Bronzeville-IIT,35th-Bronzeville-IIT (Green Line),41.831677,-87.625826
Conservatory,Conservatory (Green Line),41.884904,-87.716523
Cicero,Cicero (Green Line),41.886519,-87.744698
Pulaski,Pulaski (Green Line),41.885412,-87.725404
43rd,43rd (Green Line),41.816462,-87.619021
Ashland/63rd,Ashland/63rd (Green Line),41.77886,-87.663766
