STATION_NAME,STATION_DESCRIPTIVE_NAME,latitude,longitude
Cicero,Cicero (Pink Line),41.85182,-87.745336
Damen,Damen (Pink Line),41.854517,-87.675975
Adams/Wabash,"Adams/Wabash (Brown, Green, Orange, Pink & Purple lines)",41.879507,-87.626037
Kedzie,Kedzie (Pink Line),41.853964,-87.705408
Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink lines)",41.88322,-87.626189
Central Park,Central Park (Pink Line),41.853839,-87.714842
Morgan,Morgan (Green & Pink lines),41.885586,-87.652193
18th,18th (Pink Line),41.857908,-87.669147
Pulaski,Pulaski (Pink Line),41.853732,-87.724311
Clinton,Clinton (Green & Pink lines),41.885678,-87.641782
Ashland,Ashland (Green & Pink lines),41.885269,-87.666969
Polk,Polk (Pink Line),41.871551,-87.66953
Western,Western (Pink Line),41.854225,-87.685129
California,California (Pink Line),41.854109,-87.694774
54th/Cermak,54th/Cermak (Pink Line),41.85177331,-87.75669201
Kostner,Kostner (Pink Line),41.853751,-87.733258
