STATION_NAME,STATION_DESCRIPTIVE_NAME,latitude,longitude
Thorndale,Thorndale (Red Line),41.990259,-87.659076
95th/Dan Ryan,95th/Dan Ryan (Red Line),41.722377,-87.624342
79th,79th (Red Line),41.750419,-87.625112
Harrison,Harrison (Red Line),41.874039,-87.627479
North/Clybourn,North/Clybourn (Red Line),41.910655,-87.649177
Belmont,"Belmont (Red, Brown & Purple lines)",41.939751,-87.65338
Monroe,Monroe (Red Line),41.880745,-87.627696
Sheridan,Sheridan (Red Line),41.953775,-87.654929
Fullerton,"Fullerton (Red, Brown & Purple lines)",41.925051,-87.652866
Granville,Granville (Red Line),41.993664,-87.659202
Addison,Addison (Red Line),41.947428,-87.653626
Jackson,Jackson (Red Line),41.878153,-87.627596
Berwyn,Berwyn (Red Line),41.977984,-87.658668
Lawrence,Lawrence (Red Line),41.969139,-87.658493
Jarvis,Jarvis (Red Line),42.015876,-87.669092
87th,87th (Red Line),41.735372,-87.624717
69th,69th (Red Line),41.768367,-87.625724
Chicago,Chicago (Red Line),41.896671,-87.628176
Clark/Division,Clark/Division (Red Line),41.90392,-87.631412
47th,47th (Red Line),41.810318,-87.63094
Bryn Mawr,Bryn Mawr (Red Line),41.983504,-87.65884
Morse,Morse (Red Line),42.008362,-87.665909
Garfield,Garfield (Red Line),41.79542,-87.631157
Cermak-Chinatown,Cermak-Chinatown (Red Line),41.853206,-87.630968
63rd,63rd (Red Line),41.780536,-87.630952
Sox-35th,Sox-35th (Red Line),41.831191,-87.630636
Lake,Lake (Red Line),41.884809,-87.627813
Argyle,Argyle (Red Line),41.973453,-87.65853
Loyola,Loyola (Red Line),42.001073,-87.661061
Grand,Grand (Red Line),41.891665,-87.628021
